entity,type,start,end,weeks,intensity,peak
TSX,FIN_INSTRUMENT,2020-06-01,2021-08-23,65,91.1,2021-07-05
Delta Air Lines,COMP,2020-01-13,2020-07-13,27,90.9,2020-05-11
Peloton Interactive,COMP,2020-08-31,2022-08-15,103,90.5,2020-09-14
Affirm Holdings,COMP,2021-01-18,2022-04-18,66,90.4,2021-03-08
Artificial Intelligence,CONCEPT,2023-04-24,2023-12-11,34,90.2,2023-11-27
Nvidia Corporation,COMP,2017-02-13,2018-02-19,54,89.8,2017-05-08
David Gardner,PERSON,2019-12-02,2021-05-24,78,89.5,2019-12-02
NextEra Energy,COMP,2019-06-17,2021-02-08,87,89.2,2019-09-09
Biden,PERSON,2020-08-17,2021-02-08,26,88.9,2020-11-02
E-commerce,SECTOR,2019-11-25,2020-11-16,52,88.5,2020-09-14
Exxon Mobil Corp,COMP,2020-04-06,2020-11-02,31,88.3,2020-04-13
RS Rating,CONCEPT,2017-09-25,2018-01-29,19,88.2,2017-09-25
Micron,COMP,2019-06-03,2019-12-02,27,88.2,2019-07-08
Facebook,COMP,2018-03-12,2018-08-13,23,88.2,2018-07-23
Target,COMP,2019-08-19,2020-06-29,46,88.0,2020-01-13
Alphabet,COMP,2023-07-17,2023-12-11,22,87.8,2023-07-24
"Micron Technology, Inc.",COMP,2017-02-13,2018-05-07,65,87.6,2018-01-08
Sea Limited,COMP,2020-06-01,2021-09-06,67,86.4,2021-03-08
Nokia,COMP,2020-06-15,2021-03-22,41,86.3,2020-07-06
Earnings Surprise,CONCEPT,2017-01-02,2017-07-31,31,86.1,2017-05-15
HBO Max,PRODUCT,2019-07-08,2020-06-08,49,85.9,2019-07-08
Zoom Video Communications,COMP,2020-02-24,2021-01-11,47,85.9,2020-09-07
S&P 500,FIN_INSTRUMENT,2023-07-17,2023-08-14,5,84.9,2023-07-24
Boeing Co,COMP,2020-04-06,2021-03-08,49,84.6,2020-04-13
S&P 500 e-minis,FIN_INSTRUMENT,2020-03-30,2020-12-21,39,84.6,2020-04-27
P/E Ratio,ECON_INDICATOR,2021-04-05,2022-08-29,74,84.5,2021-04-26
Cannabis,SECTOR,2018-11-05,2020-02-24,69,84.1,2019-07-29
American Airlines Group,COMP,2019-12-30,2021-03-29,66,84.1,2020-06-01
Donald Trump,PERSON,2017-01-02,2017-05-08,19,84.0,2017-02-13
Starbucks,COMP,2020-01-20,2020-07-27,28,83.4,2020-04-27
Chevron Corp,COMP,2020-04-06,2021-01-25,43,83.4,2020-10-26
ROE,CONCEPT,2021-04-05,2022-01-17,42,83.4,2021-09-13
Finance Sector,SECTOR,2017-01-02,2017-09-25,39,83.2,2017-01-09
Dividend Channel,ORG,2017-02-20,2017-09-11,30,83.0,2017-05-08
ETFs,FIN_INSTRUMENT,2023-07-17,2023-12-04,21,82.8,2023-08-28
Financials Sector,SECTOR,2023-06-26,2023-11-27,23,82.8,2023-07-24
Microsoft Corp,COMP,2020-07-06,2021-04-26,43,82.4,2020-10-26
Airbnb,COMP,2020-11-16,2021-06-28,33,82.3,2021-03-08
Alibaba,COMP,2019-05-13,2019-12-23,33,81.9,2019-10-07
Microsoft Corporation,COMP,2017-01-02,2017-11-06,45,81.7,2017-01-23
Coca-Cola,COMP,2019-10-21,2020-07-20,40,81.6,2020-04-20
Altria,COMP,2019-04-29,2019-12-23,35,81.5,2019-09-09
Balance Sheet,CONCEPT,2021-04-05,2022-02-14,46,81.1,2021-11-29
Dan Kline,PERSON,2020-03-16,2020-10-05,30,81.1,2020-10-05
Danaher,COMP,2018-11-26,2020-11-23,105,80.3,2019-04-22
BP,COMP,2020-01-13,2021-06-07,74,80.2,2020-04-27
Ant Group,COMP,2020-07-06,2021-04-12,41,80.1,2020-11-02
Tesla,COMP,2022-05-16,2022-07-18,10,79.8,2022-06-27
S&P 500,FIN_INSTRUMENT,2023-08-28,2023-10-23,9,79.2,2023-08-28
Петр Порошенко,PERSON,2018-05-21,2019-12-09,82,78.6,2018-11-26
Silicon Valley Bank,COMP,2023-03-06,2023-06-05,14,78.6,2023-03-13
trading history,CONCEPT,2019-05-20,2020-06-29,59,77.6,2020-03-23
Generative AI,CONCEPT,2023-02-20,2023-12-11,43,77.6,2023-07-24
Delta variant,CONCEPT,2021-06-28,2021-10-11,16,77.4,2021-07-19
США,GPE,2018-12-03,2019-12-09,54,77.2,2019-10-14
Insiders,PERSON,2020-11-02,2022-01-24,65,77.2,2021-06-07
Stock Value,FIN_INSTRUMENT,2021-01-04,2021-01-11,2,77.1,2021-01-04
Stock Price,FIN_INSTRUMENT,2019-05-27,2019-06-24,5,77.0,2019-05-27
First Republic Bank,COMP,2023-03-13,2023-11-06,35,76.5,2023-03-13
Apple Inc.,COMP,2017-06-12,2017-09-11,14,75.9,2017-07-31
Kraft Heinz,COMP,2019-02-18,2020-04-06,60,75.8,2020-02-10
Earnings Per Share,ECON_INDICATOR,2017-07-10,2017-08-07,5,75.6,2017-07-31
Google,COMP,2019-03-18,2019-06-17,14,75.4,2019-06-03
Alibaba Group Holding Limited,COMP,2017-06-05,2019-03-04,92,75.4,2018-12-24
Ocugen,COMP,2021-01-11,2021-11-15,45,75.2,2021-04-19
HEXO,COMP,2019-03-04,2020-02-17,51,74.9,2019-03-11
ViacomCBS,COMP,2020-02-03,2021-10-11,89,74.6,2020-02-03
Southwest Airlines,COMP,2019-03-04,2020-08-17,77,74.3,2020-04-06
Stock Value,FIN_INSTRUMENT,2021-11-01,2021-11-22,4,74.1,2021-11-01
Reddit,ORG,2021-01-25,2021-12-13,47,74.0,2021-01-25
Vanguard Growth ETF,FIN_INSTRUMENT,2023-02-27,2023-11-27,40,74.0,2023-06-26
Intel Corp,COMP,2020-07-20,2021-10-25,67,73.9,2020-07-20
C3.ai,COMP,2020-12-07,2022-03-28,69,73.7,2021-10-11
GameStop Corp,COMP,2020-08-31,2021-06-14,42,73.7,2021-03-22
Vaccine,PRODUCT,2020-04-20,2021-08-02,68,73.7,2020-11-09
Intel Corporation,COMP,2017-06-12,2018-02-12,36,73.6,2017-08-14
Revenue Growth,ECON_INDICATOR,2020-10-19,2021-08-09,43,73.5,2020-10-26
Ukraine,GPE,2022-01-31,2023-09-25,87,73.2,2022-02-28
Coronavirus Pandemic,EVENT,2020-03-09,2021-01-25,47,73.2,2020-03-23
Fed,ORG/REG,2022-03-14,2022-06-20,15,73.0,2022-05-30
Alphabet,COMP,2020-01-13,2020-03-30,12,73.0,2020-01-20
Airlines,SECTOR,2020-02-24,2020-11-16,39,72.8,2020-03-23
Block,COMP,2022-01-10,2023-12-11,101,72.8,2023-11-27
Earnings ESP,CONCEPT,2018-10-01,2018-11-12,7,72.0,2018-10-22
Facebook,COMP,2019-04-22,2019-06-24,10,72.0,2019-06-03
Gilead Sciences,COMP,2019-12-09,2020-06-08,27,71.9,2020-02-24
Goldman Sachs,COMP,2020-01-13,2020-11-09,44,71.9,2020-04-27
Huawei,COMP,2018-12-10,2020-10-05,96,71.8,2019-08-12
Quarterly Dividend,FIN_INSTRUMENT,2019-04-01,2020-08-03,71,71.5,2019-07-01
S&P500,FIN_INSTRUMENT,2020-10-05,2022-04-04,79,71.4,2020-10-12
FTSE 100,FIN_INSTRUMENT,2020-03-30,2021-01-11,42,71.3,2020-08-31
Constellation Brands,COMP,2018-08-06,2020-01-20,77,70.9,2019-04-01
Intel,COMP,2019-04-15,2019-08-05,17,70.7,2019-04-22
Qualcomm,COMP,2019-10-07,2020-02-17,20,70.6,2019-12-23
Dividend Payment,FIN_INSTRUMENT,2018-01-29,2019-04-08,63,70.2,2018-03-05
Россия,GPE,2017-01-09,2017-10-02,39,70.0,2017-01-16
The Trade Desk,COMP,2020-12-14,2021-11-08,48,69.9,2021-09-20
Luckin Coffee,COMP,2019-04-15,2021-01-18,93,69.8,2020-07-06
Amazon.com Inc,COMP,2020-03-30,2021-12-27,92,69.8,2021-02-01
Enphase Energy,COMP,2019-11-11,2021-09-06,96,69.4,2021-06-21
Shareholders,CONCEPT,2021-01-11,2021-11-01,43,69.4,2021-05-10
Dividend Growth,CONCEPT,2020-10-26,2021-10-25,53,69.1,2021-08-02
Nike,COMP,2020-02-24,2020-10-12,34,69.1,2020-03-16
Gross Margin,ECON_INDICATOR,2017-04-24,2019-03-18,100,69.1,2018-02-26
Sanofi,COMP,2020-03-16,2020-10-26,33,69.0,2020-06-22
Deere & Company,COMP,2017-02-13,2018-05-21,67,68.9,2017-02-13
Pfizer Inc,COMP,2020-04-27,2021-04-05,50,68.4,2020-11-09
Earnings Surprise,CONCEPT,2018-07-09,2018-12-03,22,68.3,2018-07-23
Qualcomm,COMP,2019-04-08,2019-08-12,19,68.2,2019-05-27
Dividend,FIN_INSTRUMENT,2019-05-20,2019-06-24,6,68.2,2019-06-10
Healthcare Sector,SECTOR,2020-07-06,2020-12-14,24,67.9,2020-08-24
3M,COMP,2019-12-30,2020-04-27,18,67.7,2020-04-27
Tariffs,CONCEPT,2018-03-05,2019-12-23,95,67.4,2018-03-05
Global Markets,FIN_INSTRUMENT,2020-08-17,2020-11-30,16,67.1,2020-11-23
Magnite,COMP,2020-10-12,2022-03-07,74,67.1,2020-11-09
Canadian banks,ORG,2020-05-25,2021-11-15,78,66.8,2021-02-22
trailing twelve month volatility,CONCEPT,2019-04-01,2020-07-13,68,66.8,2019-06-24
Alibaba Group Holding Ltd,COMP,2017-01-23,2018-01-22,53,66.7,2017-02-20
OpenAI,ORG,2022-12-12,2023-12-04,52,66.7,2023-11-20
JPMorgan Chase,COMP,2019-09-09,2020-11-09,62,66.7,2020-10-19
Verizon Communications Inc.,COMP,2017-01-02,2018-07-16,81,66.7,2017-04-17
Joe Biden,PERSON,2020-08-10,2021-12-06,70,66.6,2021-11-29
Phillips 66,COMP,2020-03-02,2020-11-09,37,66.5,2020-03-16
Moderna Inc,COMP,2020-04-06,2021-03-22,51,66.4,2020-11-16
DocuSign,COMP,2020-06-01,2020-11-30,27,66.2,2020-06-22
Strike Price,ECON_INDICATOR,2019-06-24,2020-06-22,53,66.2,2019-06-24
U.S. Economy,CONCEPT,2020-03-16,2020-06-29,16,66.1,2020-06-29
Baidu,COMP,2018-12-31,2020-01-27,57,65.8,2019-05-13
Industrials Sector,SECTOR,2022-10-24,2023-12-11,60,65.7,2023-09-18
Canada,GPE,2020-03-23,2020-11-23,36,65.7,2020-08-17
FuelCell Energy,COMP,2020-01-13,2021-05-10,70,65.5,2020-01-13
NVIDIA Corporation,COMP,2017-05-29,2018-08-27,66,65.4,2018-02-05
Dow Jones Industrial Average,FIN_INSTRUMENT,2020-07-20,2020-08-24,6,65.2,2020-08-24
Retail Sector,SECTOR,2017-01-09,2017-05-22,20,65.2,2017-05-15
ByteDance,COMP,2019-11-18,2021-02-08,65,65.1,2020-07-27
Dividend Channel,ORG,2018-01-08,2018-04-30,17,65.0,2018-02-05
Simon Property Group,COMP,2019-12-09,2020-11-30,52,64.9,2020-03-30
Kroger,COMP,2019-06-03,2020-11-02,75,64.9,2019-12-16
Shares,FIN_INSTRUMENT,2020-04-13,2020-09-28,25,64.8,2020-06-29
Microsoft,COMP,2020-01-13,2020-03-30,12,64.8,2020-03-30
FedEx,COMP,2019-03-18,2019-12-02,38,64.7,2019-03-18
JPMorgan Chase & Co,COMP,2020-03-30,2021-04-19,56,64.6,2020-04-13
Earnings Per Share,ECON_INDICATOR,2020-10-19,2020-11-09,4,64.6,2020-11-02
Dividend History,CONCEPT,2019-11-25,2020-03-09,16,64.3,2019-12-09
Levi Strauss,COMP,2019-02-11,2020-10-12,88,63.9,2019-03-11
Tesla,COMP,2020-06-15,2020-10-05,17,63.9,2020-07-20
Under Armour,COMP,2019-09-16,2020-03-30,29,63.7,2020-02-10
SPDR S&P 500 ETF,FIN_INSTRUMENT,2022-12-19,2023-11-13,48,63.7,2023-01-23
Trump,PERSON,2017-01-02,2018-08-27,87,63.5,2017-01-02
Владимир Зеленский,PERSON,2019-03-25,2019-12-09,38,63.4,2019-06-17
Silver Market,PRODUCT,2023-07-24,2023-11-27,19,63.4,2023-07-24
Adobe Inc.,COMP,2021-09-13,2023-12-11,118,63.4,2022-06-13
SPDR S&P 500 ETF Trust,FIN_INSTRUMENT,2023-07-10,2023-11-27,21,63.4,2023-10-16
Amazon.com,COMP,2017-06-19,2018-01-08,30,63.3,2017-06-19
Bitcoin,PRODUCT,2020-12-07,2021-06-21,29,63.3,2021-05-17
Bitcoin,PRODUCT,2023-09-11,2023-12-11,14,63.2,2023-10-23
Dividend Predictability,CONCEPT,2019-05-27,2020-03-30,45,62.9,2019-09-09
Under Armour,COMP,2017-01-02,2017-06-19,25,62.9,2017-01-09
Costco,COMP,2020-03-16,2021-03-01,51,62.9,2020-09-28
Дональд Трамп,PERSON,2016-12-26,2017-04-17,17,62.8,2017-01-16
Paramount Global,COMP,2022-04-18,2023-12-04,86,62.7,2022-08-15
Vir Biotechnology,COMP,2019-10-14,2020-09-14,49,62.6,2020-04-06
Investors,PERSON,2020-05-04,2020-05-25,4,62.5,2020-05-04
Cathie Wood,PERSON,2021-02-22,2021-12-20,44,62.5,2021-05-24
Healthcare Sector,SECTOR,2023-07-24,2023-11-13,17,62.4,2023-08-28
Quibi,COMP,2019-09-23,2021-01-04,68,62.3,2020-04-06
Federal Reserve,ORG/REG,2022-11-21,2023-03-27,19,62.3,2023-03-13
Facebook Inc.,COMP,2017-01-09,2018-03-26,64,61.9,2017-03-27
Gold (XAU/USD),PRODUCT,2023-08-21,2023-11-13,13,61.7,2023-08-21
Snap,COMP,2019-05-20,2020-01-20,36,61.7,2019-07-22
Interest Rates,ECON_INDICATOR,2023-07-17,2023-12-04,21,61.5,2023-09-25
BlackRock,COMP,2023-07-17,2023-12-11,22,61.4,2023-11-27
Peacock,PRODUCT,2019-09-16,2020-04-27,33,61.4,2019-09-16
Earnings ESP,CONCEPT,2018-07-16,2018-08-20,6,61.3,2018-07-23
Healthcare,SECTOR,2019-10-21,2020-05-18,31,61.3,2020-01-13
Chewy,COMP,2020-06-08,2022-06-27,108,61.1,2020-09-21
Earnings ESP,CONCEPT,2017-04-17,2017-05-01,3,61.1,2017-04-24
Western Digital,COMP,2018-10-22,2019-10-21,53,61.0,2019-04-29
Ericsson,COMP,2020-02-10,2020-10-05,35,60.8,2020-06-29
Trefis Machine Learning Engine,CONCEPT,2020-10-05,2021-10-18,55,60.7,2021-05-10
Palantir,COMP,2020-11-09,2022-01-17,63,60.7,2020-12-28
David and Tom Gardner,PERSON,2019-11-18,2021-03-29,72,60.6,2020-03-09
Visa,COMP,2019-12-09,2020-08-03,35,60.6,2020-05-11
Solana,PRODUCT,2021-11-01,2023-01-23,65,60.3,2021-12-27
Cathie Wood,PERSON,2023-07-17,2023-12-04,21,60.2,2023-07-24
Earnings ESP,CONCEPT,2017-07-17,2017-07-31,3,60.1,2017-07-24
WTI Oil,PRODUCT,2023-03-13,2023-11-27,38,60.0,2023-07-24
Consumer Services Sector,SECTOR,2017-01-16,2019-03-25,115,60.0,2018-09-10
Caterpillar Inc.,COMP,2017-04-17,2018-06-11,61,59.9,2018-03-19
Emily Flippen,PERSON,2020-01-27,2021-03-15,60,59.9,2020-10-05
Advanced Micro Devices,COMP,2019-06-03,2019-08-26,13,59.8,2019-08-26
Cannabis Stocks,FIN_INSTRUMENT,2018-11-05,2020-03-30,74,59.5,2019-12-16
DBMF,PRODUCT,2023-03-20,2023-10-23,32,59.2,2023-09-18
ArcelorMittal,COMP,2017-01-02,2018-06-11,76,59.1,2017-02-13
Earnings ESP,CONCEPT,2022-10-10,2022-10-31,4,58.9,2022-10-17
Dow Jones Industrial Average,FIN_INSTRUMENT,2020-09-21,2021-02-22,23,58.8,2021-01-25
Wayfair,COMP,2020-02-24,2021-01-11,47,58.7,2020-06-22
Debt,CONCEPT,2021-01-11,2022-01-03,52,58.5,2021-11-01
Vaxart,COMP,2020-04-20,2021-10-04,77,58.1,2021-03-08
Facebook,COMP,2019-09-16,2020-01-27,20,58.0,2019-12-30
Earnings Estimate Revisions,CONCEPT,2023-11-27,2023-12-11,3,58.0,2023-12-11
Kohl's,COMP,2019-04-08,2020-11-30,87,57.8,2020-11-30
BioNTech SE,COMP,2020-03-16,2021-11-22,89,57.8,2020-09-14
Affirm,COMP,2021-01-11,2022-02-28,60,57.7,2021-02-08
North Korea,GPE,2017-08-07,2018-06-11,45,57.6,2017-09-04
Technology Sector,SECTOR,2020-08-24,2020-11-02,11,57.4,2020-10-12
Remdesivir,PRODUCT,2020-02-03,2020-11-16,42,57.4,2020-04-13
Apple Inc.,COMP,2022-09-26,2023-01-30,19,57.4,2022-09-26
Sony,COMP,2019-01-28,2020-01-13,51,57.4,2020-01-13
U.S. Federal Reserve,ORG/REG,2020-03-16,2020-07-27,20,57.3,2020-07-27
Brent Oil,PRODUCT,2023-03-13,2023-11-27,38,57.2,2023-07-24
United Airlines,COMP,2020-03-09,2020-08-31,26,57.1,2020-03-23
Bilibili,COMP,2019-11-11,2020-07-06,35,56.9,2020-05-25
President Trump,PERSON,2017-01-30,2019-09-23,139,56.9,2018-04-16
Microsoft Corp.,COMP,2022-07-25,2023-12-11,73,56.8,2023-11-20
