entity,type,start,end,weeks,intensity,peak
Crude Oil,PRODUCT,2023-07-17,2023-10-16,14,12.4,2023-07-31
TikTok,PRODUCT,2019-04-22,2019-04-22,1,12.4,2019-04-22
First Trust Capital Strength ETF,FIN_INSTRUMENT,2020-04-13,2020-05-11,5,12.4,2020-04-13
LinkedIn,COMP,2019-04-01,2020-05-18,60,12.4,2019-06-17
Eurozone,GPE,2023-07-31,2023-09-11,7,12.4,2023-09-11
"Nu Skin Enterprises, Inc.",COMP,2022-03-14,2023-04-17,58,12.4,2022-06-27
Stock Price,FIN_INSTRUMENT,2019-09-23,2019-09-23,1,12.4,2019-09-23
Healthcare Services,SECTOR,2018-01-22,2018-05-07,16,12.4,2018-02-05
Stock Prices,FIN_INSTRUMENT,2020-06-15,2021-05-31,51,12.4,2021-04-12
Starbucks,COMP,2018-06-04,2018-06-11,2,12.4,2018-06-04
Instagram,PRODUCT,2017-07-03,2017-12-18,25,12.4,2017-12-18
Economic Data,CONCEPT,2017-12-04,2017-12-18,3,12.4,2017-12-04
Salesforce,COMP,2021-01-11,2021-02-22,7,12.4,2021-02-22
SPDR S&P 500 ETF Trust,FIN_INSTRUMENT,2022-05-30,2022-06-06,2,12.3,2022-05-30
Global Markets,FIN_INSTRUMENT,2023-07-24,2023-08-07,3,12.3,2023-08-07
PayPal Holdings Inc.,COMP,2020-05-04,2020-06-08,6,12.3,2020-05-04
American Airlines,COMP,2021-09-13,2021-11-01,8,12.3,2021-09-13
Domino's Pizza,COMP,2022-10-24,2022-11-21,5,12.3,2022-10-24
JetBlue Airways Corp,COMP,2020-04-20,2020-10-05,25,12.3,2020-10-05
Value,CONCEPT,2020-03-16,2020-03-30,3,12.3,2020-03-30
Cannabis Industry,SECTOR,2020-12-28,2021-01-18,4,12.3,2021-01-04
UBS Group AG,COMP,2018-04-02,2019-03-18,51,12.3,2018-04-02
Cisco Systems Inc,COMP,2020-05-11,2020-11-09,27,12.3,2020-05-11
Salesforce,COMP,2022-08-22,2022-09-05,3,12.3,2022-09-05
After hours session,EVENT,2019-03-11,2019-04-08,5,12.3,2019-04-08
Priceline,COMP,2017-01-16,2017-11-06,43,12.3,2017-02-27
AGNC Investment Corp.,COMP,2017-04-24,2017-09-11,21,12.3,2017-04-24
Booking Holdings Inc.,COMP,2022-04-25,2023-02-27,45,12.3,2023-02-27
Nordson Corporation,COMP,2017-11-13,2018-03-05,17,12.3,2018-03-05
Technology Stocks,SECTOR,2019-11-25,2020-04-06,20,12.3,2019-11-25
Dell Technologies,COMP,2019-05-27,2019-08-26,14,12.3,2019-08-05
Salesforce,COMP,2020-05-18,2020-06-01,3,12.3,2020-05-18
European Commission,ORG/GOV,2022-06-06,2022-11-07,23,12.3,2022-06-27
Facebook Inc.,COMP,2020-06-22,2020-07-27,6,12.3,2020-06-22
BlackRock,COMP,2020-07-06,2020-07-06,1,12.3,2020-07-06
Bluebird Bio,COMP,2017-12-04,2018-01-22,8,12.3,2018-01-01
HCA Healthcare,COMP,2018-10-29,2019-01-28,14,12.3,2018-11-26
Entegris,COMP,2019-10-14,2020-07-20,41,12.2,2019-11-11
Nio Inc,COMP,2019-07-01,2020-11-02,71,12.2,2019-08-05
Warren Buffett,PERSON,2017-07-17,2017-07-17,1,12.2,2017-07-17
Newmont Mining,COMP,2017-10-02,2019-03-25,78,12.2,2019-03-11
Stock Buybacks,FIN_INSTRUMENT,2019-11-25,2020-03-30,19,12.2,2020-03-23
Harley-Davidson,COMP,2021-04-19,2021-04-26,2,12.2,2021-04-19
Altice USA,COMP,2017-10-30,2018-03-19,21,12.2,2017-10-30
Amazon,COMP,2018-03-05,2018-03-05,1,12.2,2018-03-05
Lazard,COMP,2019-04-01,2020-02-10,46,12.2,2019-10-28
SPDR S&P Biotech ETF,FIN_INSTRUMENT,2017-11-06,2018-01-08,10,12.2,2017-11-06
Energy Sector,SECTOR,2019-07-22,2019-07-29,2,12.2,2019-07-22
Income,CONCEPT,2023-09-11,2023-12-04,13,12.2,2023-10-23
G-III Apparel Group,COMP,2017-03-27,2017-12-18,39,12.2,2017-06-05
Government Shutdown,EVENT,2023-09-18,2023-11-13,9,12.2,2023-09-25
Vanguard Small-Cap ETF,FIN_INSTRUMENT,2017-05-15,2017-08-21,15,12.2,2017-05-15
Fed,ORG/REG,2022-09-05,2022-09-19,3,12.2,2022-09-19
Basic Materials Sector,SECTOR,2022-01-10,2022-07-25,29,12.2,2022-01-17
NVIDIA Corp.,COMP,2017-09-25,2018-01-01,15,12.2,2017-12-11
Dividend Ex-Date,CONCEPT,2019-10-14,2020-08-24,46,12.1,2019-10-28
ManpowerGroup Inc.,COMP,2019-04-15,2020-02-24,46,12.1,2019-04-15
Shake Shack Inc.,COMP,2017-05-01,2017-06-26,9,12.1,2017-06-26
Booking Holdings Inc,COMP,2019-05-13,2020-11-16,80,12.1,2020-05-04
Earnings Growth,CONCEPT,2018-12-24,2019-01-07,3,12.1,2018-12-24
Whole Foods Market,COMP,2017-05-29,2017-08-21,13,12.1,2017-05-29
Mirati Therapeutics,COMP,2022-02-14,2023-01-02,47,12.1,2022-06-27
AbbVie,COMP,2020-06-08,2020-07-20,7,12.1,2020-07-20
Schlumberger Ltd,COMP,2019-06-10,2020-02-24,38,12.1,2019-06-10
Valuation,CONCEPT,2023-11-27,2023-12-11,3,12.1,2023-12-11
Home Improvement,SECTOR,2020-04-27,2020-11-09,29,12.1,2020-08-31
Consumer Sentiment,CONCEPT,2022-06-27,2023-02-13,34,12.1,2023-02-13
Bilibili,COMP,2021-07-26,2021-09-20,9,12.1,2021-08-02
Biogen,COMP,2018-07-02,2018-07-30,5,12.1,2018-07-30
General Electric Company,COMP,2018-08-27,2018-08-27,1,12.1,2018-08-27
Scotts Miracle-Gro Company,COMP,2018-06-25,2018-08-20,9,12.1,2018-08-20
Target,COMP,2020-08-10,2020-08-17,2,12.1,2020-08-17
Industrial Products,SECTOR,2022-11-07,2023-06-12,32,12.1,2022-12-12
Oil Prices,ECON_INDICATOR,2023-04-03,2023-04-03,1,12.1,2023-04-03
Costco Wholesale,COMP,2020-08-17,2020-10-26,11,12.1,2020-10-26
Fidelity National Information Services,COMP,2018-10-01,2019-05-13,33,12.1,2018-10-01
Align Technology,COMP,2019-06-17,2019-07-22,6,12.1,2019-06-17
Solar Panels,PRODUCT,2017-03-06,2017-09-18,29,12.0,2017-08-07
Earnings Per Share Growth,ECON_INDICATOR,2020-06-15,2022-01-10,83,12.0,2021-05-03
JPMorgan,COMP,2022-04-11,2022-05-16,6,12.0,2022-04-11
Alphabet Inc.,COMP,2018-04-16,2018-04-23,2,12.0,2018-04-23
Chipotle Mexican Grill,COMP,2023-04-03,2023-04-24,4,12.0,2023-04-17
Earnings Beat,CONCEPT,2017-07-24,2017-07-31,2,12.0,2017-07-24
United Parcel Service,COMP,2019-04-29,2019-06-10,7,12.0,2019-04-29
Precious Metals,PRODUCT,2020-07-13,2021-02-22,33,12.0,2020-08-10
Social Security,CONCEPT,2017-06-19,2018-05-07,47,12.0,2018-05-07
AutoNation,COMP,2020-03-02,2020-05-11,11,12.0,2020-05-11
Toyota Motor Corporation,COMP,2023-11-13,2023-12-11,5,12.0,2023-11-13
CVS Health Corp,COMP,2021-09-27,2021-10-25,5,12.0,2021-09-27
Cybersecurity,SECTOR,2019-07-15,2019-10-14,14,12.0,2019-07-22
Oil & Gas Operations,SECTOR,2022-08-01,2023-03-06,32,12.0,2023-02-06
Global Growth,CONCEPT,2019-01-14,2020-01-27,55,12.0,2019-03-11
Southwest Airlines,COMP,2021-04-05,2021-04-19,3,12.0,2021-04-05
CenterPoint Energy,COMP,2019-08-26,2020-01-06,20,12.0,2019-11-25
Bank of England,ORG/REG,2020-05-04,2020-11-02,27,12.0,2020-10-26
Old Dominion Freight Line,COMP,2023-04-17,2023-12-04,34,12.0,2023-07-24
Coca-Cola,COMP,2023-09-18,2023-09-25,2,12.0,2023-09-18
Amgen,COMP,2020-08-24,2020-10-12,8,12.0,2020-08-24
Bank of Montreal,COMP,2017-04-24,2017-05-22,5,12.0,2017-05-22
Box Inc,COMP,2017-12-18,2017-12-18,1,11.9,2017-12-18
Intercontinental Exchange,COMP,2018-07-30,2018-10-08,11,11.9,2018-09-10
TD Bank,COMP,2017-01-30,2017-01-30,1,11.9,2017-01-30
Kosmos Energy,COMP,2023-09-04,2023-09-04,1,11.9,2023-09-04
Tesla,COMP,2017-12-18,2017-12-18,1,11.9,2017-12-18
After Hours Session,EVENT,2018-02-26,2018-03-12,3,11.9,2018-03-12
FedEx,COMP,2021-12-13,2021-12-13,1,11.9,2021-12-13
Citigroup Inc.,COMP,2018-12-31,2019-03-25,13,11.9,2019-03-25
Transocean,COMP,2023-09-18,2023-09-18,1,11.9,2023-09-18
Banks,ORG,2023-06-05,2023-08-28,13,11.9,2023-07-24
Diageo plc,COMP,2018-03-12,2018-03-12,1,11.9,2018-03-12
Stock Performance,FIN_INSTRUMENT,2022-07-18,2022-08-01,3,11.9,2022-07-25
HubSpot,COMP,2017-08-07,2017-08-07,1,11.9,2017-08-07
Avis Budget Group,COMP,2018-05-28,2018-05-28,1,11.9,2018-05-28
Pfizer,COMP,2023-01-30,2023-01-30,1,11.9,2023-01-30
CACI International,COMP,2018-08-13,2019-02-04,26,11.9,2018-08-13
Microsoft Corporation,COMP,2020-01-27,2020-03-09,7,11.9,2020-03-09
Whiting Petroleum Corp,COMP,2022-04-04,2022-04-04,1,11.9,2022-04-04
Fox,COMP,2018-05-14,2018-06-18,6,11.9,2018-06-11
Baker Hughes,COMP,2017-10-02,2018-01-22,17,11.9,2018-01-22
Operating Cash Flow,ECON_INDICATOR,2017-01-30,2017-02-27,5,11.9,2017-01-30
Dividend Expectation,CONCEPT,2022-07-18,2022-08-08,4,11.9,2022-07-25
Cognizant Technology Solutions,COMP,2020-05-18,2020-07-20,10,11.9,2020-05-18
Nike Inc.,COMP,2017-09-25,2017-10-16,4,11.9,2017-10-09
Vanguard Small-Cap ETF,FIN_INSTRUMENT,2019-02-18,2019-06-10,17,11.9,2019-02-18
Arista Networks Inc,COMP,2017-07-17,2017-07-17,1,11.9,2017-07-17
Myriad Genetics,COMP,2022-08-29,2022-08-29,1,11.9,2022-08-29
Uranium,PRODUCT,2021-02-08,2021-11-15,41,11.9,2021-03-29
Market Volatility,CONCEPT,2023-04-24,2023-12-04,33,11.9,2023-07-24
Vanguard Health Care ETF,FIN_INSTRUMENT,2017-01-09,2017-08-07,31,11.9,2017-04-03
KB Home,COMP,2023-06-19,2023-10-09,17,11.9,2023-09-18
Disney,COMP,2021-03-01,2021-03-08,2,11.9,2021-03-01
Industrial Sector,SECTOR,2018-09-10,2018-11-12,10,11.9,2018-10-22
Cenovus Energy Inc.,COMP,2017-09-04,2017-11-27,13,11.9,2017-09-04
U.S. Gulf Coast,GPE,2020-10-26,2021-09-20,48,11.9,2021-08-30
Vanguard Russell 2000 ETF,FIN_INSTRUMENT,2023-09-11,2023-11-13,10,11.8,2023-09-11
Thermo Fisher Scientific Inc,COMP,2021-10-25,2021-10-25,1,11.8,2021-10-25
Price Performance,CONCEPT,2017-02-06,2018-05-28,69,11.8,2017-10-16
USA,GPE,2018-12-17,2020-03-23,67,11.8,2018-12-17
U.S. Bancorp,COMP,2018-12-17,2019-01-14,5,11.8,2018-12-24
U.S. Government,ORG/GOV,2019-01-14,2019-02-04,4,11.8,2019-01-14
Box,COMP,2020-04-27,2020-04-27,1,11.8,2020-04-27
Thor Industries,COMP,2017-01-02,2017-06-19,25,11.8,2017-01-02
Whirlpool Corporation,COMP,2022-12-26,2022-12-26,1,11.8,2022-12-26
Asia,GPE,2017-01-02,2017-02-13,7,11.8,2017-01-30
Devon Energy,COMP,2019-11-04,2020-01-06,10,11.8,2019-12-16
The Walt Disney Company,COMP,2017-09-18,2017-12-18,14,11.8,2017-12-04
Costco Wholesale,COMP,2019-05-27,2019-06-03,2,11.8,2019-05-27
Valero Energy Corporation,COMP,2017-01-23,2017-10-23,40,11.8,2017-09-18
AT&T Inc,COMP,2019-03-18,2019-04-29,7,11.8,2019-04-01
Agriculture,SECTOR,2017-06-26,2017-06-26,1,11.8,2017-06-26
First Trust Nasdaq Cybersecurity ETF,FIN_INSTRUMENT,2021-10-11,2021-10-18,2,11.8,2021-10-11
Net Income Margin,ECON_INDICATOR,2021-03-15,2021-10-25,33,11.8,2021-03-22
SM Energy,COMP,2017-03-27,2018-04-02,54,11.8,2017-03-27
Global Markets,FIN_INSTRUMENT,2017-07-03,2017-07-03,1,11.8,2017-07-03
Charles Schwab,COMP,2021-01-25,2021-03-15,8,11.8,2021-01-25
Ares Capital,COMP,2023-03-27,2023-12-11,38,11.8,2023-03-27
Invesco Russell 1000 Equal Weight ETF,FIN_INSTRUMENT,2019-06-17,2019-10-14,18,11.7,2019-06-17
Microsoft Teams,PRODUCT,2019-10-28,2020-11-23,57,11.7,2020-08-31
Berkshire Hathaway Inc,COMP,2021-08-16,2021-08-16,1,11.7,2021-08-16
Domino's Pizza,COMP,2018-04-16,2018-07-30,16,11.7,2018-05-07
Procter & Gamble Company,COMP,2017-01-16,2017-07-24,28,11.7,2017-01-16
Capital One,COMP,2018-01-22,2018-01-22,1,11.7,2018-01-22
Micron Technology,COMP,2023-03-27,2023-03-27,1,11.7,2023-03-27
Micron Technology,COMP,2023-06-26,2023-06-26,1,11.7,2023-06-26
Union Pacific Corp,COMP,2020-07-13,2020-07-20,2,11.7,2020-07-20
Verizon,COMP,2017-01-09,2017-01-23,3,11.7,2017-01-16
American Tower Corp,COMP,2017-09-25,2018-01-08,16,11.7,2017-12-18
Boeing,COMP,2019-01-14,2019-01-21,2,11.7,2019-01-21
Sirius XM Holdings,COMP,2018-01-29,2018-07-02,23,11.7,2018-01-29
Occidental Petroleum,COMP,2021-04-05,2021-04-12,2,11.7,2021-04-05
Mirati Therapeutics,COMP,2019-05-13,2019-12-30,34,11.7,2019-12-30
Fortive Corporation,COMP,2023-02-13,2023-02-27,3,11.7,2023-02-27
Earnings Report,EVENT,2017-01-23,2017-01-30,2,11.7,2017-01-30
Waste Management,COMP,2018-08-20,2019-01-07,21,11.7,2018-11-26
The Consumer Discretionary Select Sector SPDR Fund,FIN_INSTRUMENT,2023-08-14,2023-11-27,16,11.7,2023-11-27
Volkswagen,COMP,2019-09-09,2020-02-17,24,11.7,2020-02-17
Oracle,COMP,2023-09-04,2023-09-18,3,11.7,2023-09-11
Banks,ORG,2019-12-16,2020-01-13,5,11.7,2019-12-23
Industrials Sector,SECTOR,2020-10-19,2021-01-04,12,11.7,2021-01-04
Edison International,COMP,2021-12-27,2021-12-27,1,11.7,2021-12-27
Ford,COMP,2023-08-07,2023-09-25,8,11.7,2023-08-28
Q2 Earnings,ECON_INDICATOR,2023-07-17,2023-07-31,3,11.7,2023-07-17
SolarEdge Technologies,COMP,2017-07-31,2017-07-31,1,11.7,2017-07-31
CSX,COMP,2017-07-17,2017-12-11,22,11.6,2017-07-24
Financial Sector,SECTOR,2019-04-01,2019-04-08,2,11.6,2019-04-08
"Greif, Inc.",COMP,2017-06-05,2017-06-19,3,11.6,2017-06-05
Stock Performance,FIN_INSTRUMENT,2017-07-03,2017-07-24,4,11.6,2017-07-03
Semiconductor Stocks,SECTOR,2023-07-17,2023-09-25,11,11.6,2023-07-24
Business Services Sector,SECTOR,2022-01-17,2022-06-13,22,11.6,2022-01-17
Zoetis Inc.,COMP,2017-03-20,2017-10-30,33,11.6,2017-08-07
Fifth Third Bancorp,COMP,2019-03-25,2019-03-25,1,11.6,2019-03-25
Dividend Payouts,CONCEPT,2019-12-09,2020-10-26,47,11.6,2020-03-02
Alphabet,COMP,2018-10-22,2018-10-22,1,11.6,2018-10-22
MGM Resorts International,COMP,2022-06-27,2022-07-18,4,11.6,2022-07-11
Vanguard Consumer Staples ETF,FIN_INSTRUMENT,2023-08-14,2023-11-13,14,11.6,2023-09-04
Kinross Gold Corporation,COMP,2020-09-21,2022-03-14,78,11.6,2022-02-14
Starbucks,COMP,2018-09-10,2018-09-24,3,11.6,2018-09-10
Royal Dutch Shell,COMP,2017-07-31,2017-07-31,1,11.6,2017-07-31
"Steel Dynamics, Inc.",COMP,2022-01-17,2023-06-19,75,11.6,2022-01-17
Industrial Select Sector SPDR ETF,FIN_INSTRUMENT,2023-08-14,2023-11-20,15,11.6,2023-09-04
SL Green Realty,COMP,2017-11-13,2018-06-11,31,11.6,2017-11-13
China,GPE,2019-12-09,2019-12-09,1,11.6,2019-12-09
Crude Oil,PRODUCT,2020-09-07,2020-09-21,3,11.6,2020-09-07
Altria Group,COMP,2017-03-06,2017-06-12,15,11.6,2017-03-06
"NVR, Inc.",COMP,2017-03-06,2018-02-12,50,11.6,2017-04-17
News Corporation,COMP,2017-11-06,2018-06-11,32,11.6,2017-11-06
3D Printing,SECTOR,2017-02-13,2018-05-07,65,11.6,2018-02-26
Argentina,GPE,2018-08-20,2018-10-29,11,11.6,2018-08-27
Supply Chain,CONCEPT,2020-02-10,2020-05-11,14,11.6,2020-03-09
Earnings Surprise,CONCEPT,2017-10-16,2017-10-30,3,11.6,2017-10-23
Chevron Corporation,COMP,2023-06-26,2023-07-31,6,11.6,2023-07-24
Microsoft,COMP,2017-04-24,2017-04-24,1,11.6,2017-04-24
Nutrien Ltd.,COMP,2022-01-31,2022-08-22,30,11.6,2022-02-14
Canadian National Railway,COMP,2021-04-19,2021-11-15,31,11.6,2021-08-30
"Ventas, Inc.",COMP,2022-10-31,2023-06-19,34,11.6,2022-10-31
Barrick Gold,COMP,2023-05-29,2023-05-29,1,11.6,2023-05-29
Pfizer Inc.,COMP,2017-12-25,2017-12-25,1,11.5,2017-12-25
Electronic Arts Inc.,COMP,2022-10-03,2022-10-31,5,11.5,2022-10-03
Tapestry,COMP,2023-12-04,2023-12-11,2,11.5,2023-12-04
Synaptics,COMP,2021-11-01,2022-08-22,43,11.5,2022-08-22
Retail Space,SECTOR,2017-02-27,2017-12-11,42,11.5,2017-06-12
Value Stocks,SECTOR,2023-06-26,2023-09-18,13,11.5,2023-07-24
AMC Entertainment Holdings,COMP,2022-08-22,2022-08-22,1,11.5,2022-08-22
British American Tobacco,COMP,2017-03-06,2017-07-17,20,11.5,2017-03-06
U.S. Securities and Exchange Commission,ORG/REG,2023-01-30,2023-11-13,42,11.5,2023-10-16
Medtronic,COMP,2023-04-24,2023-05-22,5,11.5,2023-05-15
Global Payments,COMP,2023-11-27,2023-12-11,3,11.5,2023-11-27
"Henry Schein, Inc.",COMP,2022-02-07,2022-06-13,19,11.5,2022-02-14
Ares Capital Corporation,COMP,2017-02-20,2017-07-24,23,11.5,2017-07-24
Gilead Sciences,COMP,2018-07-16,2018-07-23,2,11.5,2018-07-16
"NetApp, Inc.",COMP,2021-03-29,2021-07-05,15,11.5,2021-05-24
Dividend,FIN_INSTRUMENT,2023-01-02,2023-01-02,1,11.5,2023-01-02
CME Group,COMP,2021-05-03,2021-05-03,1,11.5,2021-05-03
Vanguard Total World Stock ETF,FIN_INSTRUMENT,2017-02-27,2017-05-29,14,11.5,2017-05-29
Micron Technology,COMP,2018-12-10,2018-12-17,2,11.5,2018-12-17
Advanced Micro Devices,COMP,2018-01-08,2018-01-15,2,11.5,2018-01-08
Exxon Mobil Corporation,COMP,2018-02-26,2018-03-12,3,11.5,2018-03-12
Spain,GPE,2018-04-09,2018-07-16,15,11.5,2018-05-28
Shares,FIN_INSTRUMENT,2018-03-05,2018-03-26,4,11.5,2018-03-19
Gold Prices,ECON_INDICATOR,2020-10-26,2020-11-30,6,11.5,2020-10-26
Alabama,GPE,2020-01-06,2021-01-25,56,11.5,2020-05-18
Snap,COMP,2021-11-22,2021-12-06,3,11.5,2021-11-22
Cloud Computing,SECTOR,2019-08-26,2019-09-16,4,11.5,2019-09-09
RH,COMP,2017-10-30,2017-12-04,6,11.5,2017-12-04
Oracle,COMP,2018-06-18,2018-06-25,2,11.5,2018-06-25
CVS,COMP,2019-07-22,2020-04-06,38,11.4,2020-01-20
Rivian,COMP,2021-08-30,2022-02-07,24,11.4,2021-08-30
Walt Disney Co.,COMP,2019-06-10,2020-03-16,41,11.4,2019-06-10
Texas,GPE,2021-04-19,2021-05-03,3,11.4,2021-04-19
Signet Jewelers Limited,COMP,2018-06-18,2018-08-27,11,11.4,2018-06-25
J.C. Penney,COMP,2018-05-21,2018-06-04,3,11.4,2018-05-21
Broadcom Inc.,COMP,2023-06-05,2023-11-27,26,11.4,2023-07-10
Brookfield Infrastructure Partners,COMP,2021-01-25,2021-02-08,3,11.4,2021-01-25
BlackBerry,COMP,2019-09-23,2019-09-23,1,11.4,2019-09-23
NetApp,COMP,2017-01-23,2017-06-26,23,11.4,2017-02-13
SPDR S&P Insurance ETF,FIN_INSTRUMENT,2017-03-06,2017-08-14,24,11.4,2017-05-15
Canadian National Railway Co,COMP,2021-01-25,2022-01-17,52,11.4,2022-01-17
RSI,CONCEPT,2017-09-04,2018-05-21,38,11.4,2017-09-04
BlackBerry,COMP,2022-06-20,2022-06-20,1,11.4,2022-06-20
Social Media,SECTOR,2019-04-08,2019-06-17,11,11.4,2019-04-15
The Walt Disney Company,COMP,2020-05-04,2020-05-11,2,11.4,2020-05-04
Oracle Corporation,COMP,2022-08-15,2022-09-12,5,11.4,2022-08-15
American Water Works,COMP,2017-01-30,2017-07-31,27,11.4,2017-01-30
Monetary Policy,CONCEPT,2023-06-19,2023-12-11,26,11.4,2023-09-18
Exxon Mobil Corporation,COMP,2018-08-06,2018-09-03,5,11.4,2018-08-06
Teck Resources Ltd,COMP,2023-01-30,2023-04-17,12,11.4,2023-03-27
Biogen,COMP,2023-04-17,2023-04-24,2,11.4,2023-04-24
Facebook,COMP,2018-12-10,2018-12-10,1,11.4,2018-12-10
Alnylam Pharmaceuticals,COMP,2021-06-28,2021-11-01,19,11.4,2021-06-28
Pentagon,ORG/GOV,2018-09-03,2019-08-05,49,11.4,2019-07-15
Bloom Energy,COMP,2019-11-04,2020-01-13,11,11.4,2019-11-18
SPDR S&P Bank ETF,FIN_INSTRUMENT,2023-07-17,2023-11-06,17,11.4,2023-09-18
NVIDIA Corporation,COMP,2023-11-13,2023-12-04,4,11.4,2023-11-13
Energy,SECTOR,2019-12-16,2020-01-13,5,11.4,2020-01-13
Energy,SECTOR,2020-08-24,2020-09-28,6,11.4,2020-09-28
Wayfair,COMP,2018-07-16,2018-08-06,4,11.4,2018-07-16
Quest Diagnostics,COMP,2020-04-06,2021-03-01,48,11.4,2020-10-05
Airbus,COMP,2021-05-10,2021-06-07,5,11.4,2021-05-10
Arch Capital Group Ltd.,COMP,2022-03-07,2022-12-19,42,11.4,2022-06-13
Las Vegas,GPE,2020-03-23,2020-08-10,21,11.4,2020-04-06
HealthEquity,COMP,2018-06-11,2018-10-08,18,11.4,2018-10-08
Department Stores,SECTOR,2019-08-12,2019-09-30,8,11.3,2019-09-30
Pacific Biosciences of California,COMP,2018-07-09,2018-11-05,18,11.3,2018-11-05
Business,CONCEPT,2020-01-27,2020-11-09,42,11.3,2020-03-09
"Patterson Companies, Inc.",COMP,2022-05-16,2023-02-27,42,11.3,2023-02-27
AXIS Capital Holdings Limited,COMP,2017-04-24,2017-10-23,27,11.3,2017-10-23
Realty Income Corp,COMP,2020-01-27,2020-03-30,10,11.3,2020-01-27
Restaurant Industry,SECTOR,2020-12-14,2020-12-28,3,11.3,2020-12-21
Walgreens,COMP,2023-10-16,2023-10-30,3,11.3,2023-10-16
Aviation,SECTOR,2019-12-16,2020-06-08,26,11.3,2020-03-02
OPEC,ORG,2020-03-02,2020-06-01,14,11.3,2020-03-02
Canadian Imperial Bank of Commerce,COMP,2018-03-12,2018-05-21,11,11.3,2018-03-26
ONEOK,COMP,2017-07-31,2018-03-12,33,11.3,2018-02-26
US Government,ORG/GOV,2023-09-25,2023-10-30,6,11.3,2023-10-16
Tractor Supply,COMP,2023-04-24,2023-10-23,27,11.3,2023-04-24
Cryptocurrency,CONCEPT,2022-10-31,2022-11-07,2,11.3,2022-10-31
AUM,ECON_INDICATOR,2023-07-24,2023-11-13,17,11.3,2023-09-25
ARK Innovation ETF,FIN_INSTRUMENT,2022-07-25,2022-08-01,2,11.3,2022-08-01
Universal Health Services,COMP,2021-05-10,2021-07-12,10,11.2,2021-05-31
Robotics,SECTOR,2019-08-26,2019-12-09,16,11.2,2019-09-16
Maryland,GPE,2020-04-27,2021-07-26,66,11.2,2021-07-26
Xilinx,COMP,2019-03-25,2019-10-14,30,11.2,2019-03-25
Big Tech,SECTOR,2020-09-21,2020-11-09,8,11.2,2020-10-19
Ashford Hospitality Trust,COMP,2021-07-19,2021-09-13,9,11.2,2021-08-16
Exact Sciences,COMP,2020-01-06,2020-03-16,11,11.2,2020-02-24
Profit Growth,CONCEPT,2019-02-25,2020-02-17,52,11.2,2019-06-17
HP,COMP,2022-04-04,2022-07-04,14,11.2,2022-04-04
Central Garden & Pet Company,COMP,2018-11-19,2019-03-04,16,11.2,2019-02-04
Dividend Payout,CONCEPT,2019-12-09,2020-03-23,16,11.2,2019-12-30
Solar Industry,SECTOR,2017-01-02,2017-05-01,18,11.2,2017-05-01
Powell,PERSON,2019-06-24,2019-07-08,3,11.2,2019-06-24
Defense Sector,SECTOR,2019-07-15,2019-12-09,22,11.2,2019-07-15
MercadoLibre,COMP,2019-12-23,2020-02-10,8,11.2,2020-01-13
Cash Flow from Operations,ECON_INDICATOR,2018-01-29,2018-12-10,46,11.2,2018-04-23
Urban Outfitters,COMP,2018-07-16,2018-09-24,11,11.2,2018-09-17
"Illumina, Inc.",COMP,2018-07-23,2019-02-25,32,11.2,2018-07-23
U.S. economy,CONCEPT,2018-09-03,2018-09-17,3,11.2,2018-09-17
Earnings,ECON_INDICATOR,2020-10-19,2020-10-19,1,11.2,2020-10-19
Online Gaming,SECTOR,2020-05-04,2020-11-30,31,11.2,2020-11-16
U.S. Stock Market,FIN_INSTRUMENT,2021-07-12,2021-07-26,3,11.2,2021-07-26
EOG Resources,COMP,2017-07-31,2017-08-07,2,11.2,2017-07-31
Spotify Technology,COMP,2022-10-10,2022-10-24,3,11.2,2022-10-24
Earnings Season,EVENT,2022-10-24,2022-10-31,2,11.2,2022-10-24
Газпром,COMP,2017-01-09,2017-08-14,32,11.2,2017-01-23
Texas,GPE,2019-07-08,2019-07-15,2,11.2,2019-07-15
AMC Entertainment,COMP,2019-10-21,2019-10-21,1,11.2,2019-10-21
CSX Corporation,COMP,2018-05-28,2018-08-20,13,11.2,2018-05-28
Snowflake,COMP,2021-05-10,2021-05-31,4,11.2,2021-05-31
Business Services,SECTOR,2019-12-09,2020-03-16,15,11.2,2020-02-24
Nokia,COMP,2021-08-02,2021-08-02,1,11.2,2021-08-02
Adobe,COMP,2017-02-06,2017-02-06,1,11.2,2017-02-06
Biogen Inc.,COMP,2023-03-13,2023-03-20,2,11.1,2023-03-13
Progressive,COMP,2022-01-17,2022-06-06,21,11.1,2022-06-06
PepsiCo,COMP,2023-11-27,2023-12-04,2,11.1,2023-12-04
JPMorgan Chase,COMP,2022-07-11,2022-07-18,2,11.1,2022-07-18
Union Pacific Corporation,COMP,2019-10-14,2019-11-04,4,11.1,2019-10-14
Gold Mining Sector,SECTOR,2019-02-04,2019-09-30,35,11.1,2019-02-04
Closed-End Funds,FIN_INSTRUMENT,2021-08-09,2022-05-02,39,11.1,2022-05-02
Broadcom,COMP,2020-04-27,2020-06-08,7,11.1,2020-06-08
The Consumer Discretionary Select Sector SPDR Fund,FIN_INSTRUMENT,2019-05-27,2019-10-28,23,11.1,2019-05-27
Match Group,COMP,2018-05-07,2018-05-14,2,11.1,2018-05-14
Plug Power,COMP,2019-05-20,2019-06-03,3,11.1,2019-05-20
